item_number,item_name,line_build_id,procedures_step_order,sub_steps_order,procedures_activity,procedures_appliance,procedures_cooking_phase,sub_steps_title,sub_steps_related_item_number,cooking_time,resting_time,hold_time,step_time,apply_option_id,apply_option_value_id,restaurant_id,procedures_option_type,procedures_option_name,procedures_option_value_name
8008516,"French Fries, Wing Trip",25a7c399-d649-4402-84e4-5af208993e17,1,2,COOK,FRYER,,"POST COOK: (2 Shakes) Salt, Toss",,04:00,,,04:30,,,173a2a80-d690-4f3c-a8cd-9fda611d95f0,,,
8010436,"Pizza Quattro Formaggi 12"", Alanza Pizza",59454831-a86e-4bdc-91b2-5662a99d9c67,3,2,GARNISH,,,Pizza- 6 Piece Cut,,,,,00:15,,,023496f8-279d-4bf8-b97a-299913417b9a,,,
8011251,"Sesame Chicken, Kin House (Microwave Pilot)",3cfab29a-f082-49b7-a869-eaa284f6a58b,4,2,COOK,FRYER,,POST COOK: Place in Bowl,,03:00,,,03:30,,,3b140291-de5b-43aa-9daf-a27201f8fa5f,,,
8007605,"Real Veggie Burger, Burger Baby!",0b3d88a1-b25e-4a3d-896e-4ef56b364857,2,1,GARNISH,,,TOAST: Martin’s Roll,,,,,00:15,,,06efb67a-9e99-4bf2-98de-9716adfed6ff,,,
8010062,"French Fries, Bellies",b217ffc7-7ddb-403d-bd25-6cec9ad7426e,2,1,GARNISH,,,Bellies Clamshell - Fries,,,,,00:30,,,b5a6455b-493b-4358-ba7c-2a061d0d8d42,,,
8011274,"12pc Classic Wings, Wing Trip",4a88759c-98ad-4e6e-9d6c-ec4b4abccb7b,11,9,GARNISH,,,Nashville Hot Wing,,,,,00:15,,,23c614c5-3f9c-4a0c-8334-04914f864a37,,,
8005005,"Taco (BYO), Limesalt",0f4f71cb-c393-493a-9aef-f13fad942ebb,16,5,GARNISH,,,Cilantro,,,,,00:15,,,50c80294-6a20-41f3-901a-8238ece6244f,,,
8008266,"6pc Truffle Parmesan Wings, Wing Trip",daee8fef-8cfe-4d0f-a632-6940cf0b062b,3,1,COMPLETE,,,6pc Truffle Parmesan Wings,9002117,,,30:00,00:30,,,8479f296-1b04-465a-8d17-45a9390b624c,,,
8011275,"12pc Boneless Wings, Wing Trip",f48698f5-54df-45d3-b584-c50432e66f1a,11,2,GARNISH,,, Sweet & Sticky BBQ Wing,,,,,00:15,,,29ba5400-c384-4760-8850-22e7b9ffda88,,,
8010856,"Essentials Bowl, PRESET",6a58585b-12b2-465b-afef-f2cbcb44780c,20,1,COOK,MICROWAVE,,Extra BBQ Brisket Burnt Ends,,01:15,,,01:30,,,ce91c4d5-481d-4a1f-bf07-0b359bccbbd9,,,
8010678,"BYO Maydan’s Fattoush Salad, Royal Greens PRESET",e0d872f5-2bf4-408b-be1b-bc9f6bb65f49,3,1,COOK,WATER_BATH,,32oz Pulp Bowl,,10:00,,,10:15,,,,MANDATORY_CHOICE,Base,Grains & Kale
8007299,"6pc Peri Peri Wings, Wing Trip",5f730ad9-b1fb-4ae9-945d-599f8691adb9,1,4,COOK,FRYER,,POST COOK: (1) Foil Sheet,,05:00,,,05:30,,,aaa5d668-3a08-44df-9e9e-5a5885ff3d17,,,
8010431,"Pizza Vodka 12"", Alanza Pizza",5b31c3ce-638a-4daf-81c9-828463d13973,1,3,GARNISH,,,(1) Diced Mozzarella,,,,,00:30,,,0f6cb20e-f820-4fc3-99d9-3eee3df223b4,,,
8010463,"12"" Gluten-Free Pizza Classica, Alanza Pizza",b3781438-6a9a-40aa-abd5-620b108a7ea4,3,1,GARNISH,,,Place Pizza Small Square Pizza Box + Liner,,,,,00:15,,,84407d30-5b3b-43f0-a842-cb87624d59d0,,,
8011276,"6pc Boneless Wings, Wing Trip",2c15d1d9-6560-4e22-935c-ba2091a2b4f4,12,6,GARNISH,,,3 Shakes Aleppo,,,,,00:15,,,66158e6d-c4ca-437d-a077-95c69b8da405,,,
8002212,"Broccoli Rabe & Sausage Round Pizza, Di Fara 3.0",59982bbf-86ee-4d44-9465-568921d45226,2,3,GARNISH,,,Grated Parmesan,,,,,01:00,,,5df801af-419a-46e6-8f60-5b1836593cbf,OPTIONAL_SUBTRACTION,Crumbled Sausage,No Crumbled Sausage
8010873,"Spicy Salmon Sashimi Salad, Royal Greens PRESET",a4b97086-409a-43e3-98cc-f3079d7e7a68,5,32,GARNISH,,,Diced Cucumber,,,,,00:15,,,,,,
8010856,"Essentials Bowl, PRESET",6a58585b-12b2-465b-afef-f2cbcb44780c,22,6,GARNISH,,,Cilantro,,,,,00:15,,,72892b02-6079-4724-81aa-e47fd42a03e7,,,
8009454,"6pc Classic Buffalo Wings, Detroit Brick",e172b174-68bb-49ca-be50-6e6b6064a805,2,2,GARNISH,,,Buffalo Wings,,,,,00:15,,,8ab86863-9d7a-4da9-b9cb-41634f253fa8,,,
8009096,"M's Crispy Chicken Tenders, Street Bird",898145e2-1edd-4381-8ca1-2c449d50b04c,2,3,GARNISH,,,Chicken Tenders- Clamshell,,,,,01:00,,,f8774df2-b3b0-4cf1-b830-2726cf923681,,,
8008643,"Fried Chicken Sandwich, Street Bird",26c36a79-8dfe-4fe1-85aa-43d3e27e836a,1,1,COOK,FRYER,,"(1 ea) Chicken Filet, Breaded",4000113,05:00,,,05:15,,,378fd512-7b11-4435-b8c4-8b3feb6c8228,,,
8010714,"BYO Maydan’s Fattoush  Salad, Royal Greens AB PRESET",a650e54a-dd6c-4176-a636-cda848c418fd,6,30,GARNISH,,,Fried Shallots,,,,,00:15,,,,,,
8004638,"Bowl (BYO), Limesalt",e962dd3c-8851-44ac-8254-edb11237306d,22,11,GARNISH,,,Sliced Romaine,,,,,00:15,,,50c80294-6a20-41f3-901a-8238ece6244f,,,
8002212,"Broccoli Rabe & Sausage Round Pizza, Di Fara 3.0",59982bbf-86ee-4d44-9465-568921d45226,4,2,GARNISH,,,Slice,,,,,00:30,,,5df801af-419a-46e6-8f60-5b1836593cbf,,,
